"","mz","Pearson","cosine","delta_RT"
"para",295.226926136079,0.630509988522247,0.908767519324279,0.331999999999994
"para",818.591711077643,-0.0830527836046848,0.868558979900099,1.79300000000001
"para",390.26727615785,0.501084309838064,0.834817286639667,1.178
"para",819.594487023746,-0.0944130576063859,0.869099817246988,0.754999999999995
"para",844.606444006032,-0.322406903148295,0.810919227270357,1.36900000000003
"para",296.230566732154,0.548471384972694,0.9062323612584,0.518000000000029
"para",255.232534541138,0.420627628515617,0.880797368806914,1.59999999999991
"para",283.263689591271,0.114561619322519,0.874273233912312,0.754999999999995
"para",269.211745339113,0.865999463228452,0.943993695251064,0.754999999999995
"para",321.209849684108,-0.213966968325274,0.825272717887118,2.024
"para",325.183438061953,0.354047168940018,0.879733232231143,0.518000000000029
"para",744.55240048528,0.0228873091716678,0.872153417419643,0.0919999999999845
"para",761.57887130627,-0.391474611940865,0.800929160975288,2.024
"para",311.167932537169,-0.00269684040502944,0.871835114130984,0.518000000000029
"para",845.609418537096,-0.119842869940818,0.847028036093646,1.59999999999991
"para",339.198883600002,0.0165385153849863,0.871876963575745,0.518000000000029
"para",868.606197447984,-0.276813113688796,0.80831526233667,1.36900000000003
"para",718.95426637665,0.941042260960847,0.976032957929476,0.754999999999995
"para",211.16998989582,0.718630546282349,0.937756334619471,0.754999999999995
"para",391.271337615941,0.263875573010308,0.744012398242044,2.024
"para",820.59544738598,0.733005391336316,0.94304851577416,0.331999999999994
"para",205.159413468888,-0.0467040237358154,0.756283957120287,0.518000000000029
"para",281.24814127877,0.910707088145929,0.954541771873741,0.754999999999995
"para",297.242489382215,0.419847187676999,0.894854320947793,2.024
"para",762.943335523053,0.913486194879444,0.962463841314015,0.331999999999994
"para",816.574375803145,-0.320334568540756,0.862562862343836,1.36900000000003
"para",762.582993692082,0.0675928872122605,0.873209644191205,0.518000000000029
"para",267.232561896586,-0.509443371510103,0.563131891464145,1.36900000000003
"para",745.556735473702,-0.126092096031382,0.866639503764389,0.0919999999999845
"para",329.247549164378,0.0293402462532461,0.770849036842681,2.024
"para",810.999587962339,0.578564458168924,0.913892518331714,1.59999999999991
"para",319.227222119914,0.320927433881196,0.876593492359839,0.331999999999994
"para",687.542593195377,-0.15904675946917,0.866587631081998,0.0919999999999845
"para",540.989691734177,-0.070437802192661,0.543678582407085,2.024
"para",869.609983611011,-0.456322321139016,0.8568912818106,0.518000000000029
"para",425.256772779511,0.519869504898931,0.896922739043118,0.0919999999999845
"para",349.237646192663,0.658966823437533,0.891239543668834,0.331999999999994
"para",789.611644517671,-0.0467523083369995,0.867127246057756,0.942999999999984
"para",770.568516809229,-0.0308918627095971,0.840741464208884,1.59999999999991
"para",279.232367798066,0.426988682131328,0.896392243174196,0.0919999999999845
"para",297.152543550108,-0.479986255753658,0.850005242250565,1.79300000000001
"para",265.147497460318,0.405143318797734,0.893940073513039,0.754999999999995
"para",325.238026079555,0.925572325341364,0.977770618145168,0.754999999999995
"para",411.27411379546,0.228349387399271,0.848087362954505,0.518000000000029
"para",345.242566131568,-0.271322070231624,0.774028232123343,1.79300000000001
"para",199.170053380617,-0.700750787869753,0.503316016505065,1.79300000000001
"para",299.258624904974,-0.093460272858128,0.771860635971254,0.518000000000029
"para",338.269749372828,-0.645112674274626,0.444842711737237,1.79300000000001
"para",817.577142924507,-0.0940024804317922,0.813507240187841,0.0919999999999845
"para",221.154209356378,-0.032158556321083,0.864664472592951,0.518000000000029
"para",323.258453135677,-0.0354539112223317,0.831498759182089,2.024
"para",293.174696048793,-0.419838027974847,0.786043215300899,0.518000000000029
"para",846.613972047672,-0.0321722393311119,0.869044730811308,0.754999999999995
"para",874.615408462054,-0.133847677078392,0.811306345176536,0.518000000000029
"para",307.227567850775,0.830595050054342,0.961555327948819,0.0919999999999845
"para",284.267362587837,0.550478813996603,0.912915129076952,0.331999999999994
"para",742.537759092485,0.429792798150938,0.897185503714488,0.754999999999995
"para",343.227555442097,-0.406163541066253,0.735941833079189,1.36900000000003
"para",511.302265010683,0.19000617387604,0.713748205746617,2.024
"para",270.214900235098,0.606181382345966,0.920980972224231,0.518000000000029
"para",227.201243731665,0.0979095706896099,0.833309607792431,1.59999999999991
"para",327.289940087536,0.431753208763433,0.889531888811254,0.754999999999995
"para",322.213546465885,-0.0806209896435337,0.813571110101531,1.59999999999991
"para",256.236055895294,-0.203628888091152,0.862801773782963,0.518000000000029
"para",236.105053874606,-0.296260966895713,0.807777293510478,2.024
"para",447.310103326096,-0.428136428558824,0.541536771934663,0.942999999999984
"para",343.000614981476,0.0205493963878314,0.837215505281188,0.942999999999984
"para",350.269540157013,-0.299669873667171,0.844175379862668,2.024
"para",233.154055405938,-0.524917101320462,0.746746971364272,1.79300000000001
"para",804.573274532175,-0.410770670125429,0.8013101779258,1.36900000000003
"para",326.187231599944,-0.424878438956252,0.756500340673597,2.024
"para",312.171274853426,-0.21176327614128,0.789332123681341,2.024
"para",381.230568440318,0.243880064412226,0.878628290399312,0.0919999999999845
"para",341.003414582607,0.680222794085737,0.918649366067078,0.754999999999995
"para",325.274136053844,0.336498165893481,0.887306079766038,0.518000000000029
"para",790.992334875626,0.0877420729948419,0.808621211484688,0.518000000000029
"para",887.588873851711,0.0829240199220822,0.856197889504402,0.331999999999994
"para",277.216644334251,0.591192553201119,0.8979616229352,0.331999999999994
"para",340.202501537906,0.681797628017863,0.933305615415738,1.178
"para",158.938745497084,0.530803975380358,0.898712163527256,1.59999999999991
"para",436.982496004148,0.113401896967705,0.623331672039264,1.178
"para",801.573875741747,-0.0220816026177895,0.867266089916972,1.79300000000001
"para",253.217039006983,-0.150011959764565,0.805906713396583,0.518000000000029
"para",248.972644164336,0.458498431463168,0.897404192738717,0.518000000000029
"para",830.590981910977,0.0951167298313411,0.873490711026369,1.178
"para",792.574041286417,0.0694168452970261,0.847859315742626,0.0919999999999845
"para",790.615398725428,-0.413957221156329,0.845534137146828,0.942999999999984
"para",688.548063023392,-0.0313546897274861,0.866574324306437,0.754999999999995
"para",853.102497683555,0.412352901082295,0.895106364805789,0.754999999999995
"para",283.227179958663,-0.44552133725734,0.660822862762421,1.36900000000003
"para",870.613127597297,-0.225419941203961,0.80525032453709,0.518000000000029
"para",234.975478139412,0.210597828792698,0.855656800671186,0.331999999999994
