,mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,sn,sample,KM,NKM,KMD,AKMD
CP0563,151.0431843,151.043164,151.0432195,136.015,134.624,137.873,127115.0255,127112.2406,69551.86719,69551,1,151.0528516,151,-0.052851638,0.947148362
CP2082,151.1125746,151.1125594,151.1126033,258.923,255.681,263.557,3964362.023,3922575.626,1768440.75,124,1,151.1222464,151,-0.122246387,0.877753613
CP1607,151.1125928,151.1125898,151.1125984,228.813,227.888,230.202,89709.152,89294.67892,63784.23047,26,1,151.1222646,151,-0.12226464,0.87773536
CP2993,151.1126311,151.1125763,151.1128652,363.658,361.339,365.049,82215.82817,80517.96491,55921.07422,12,1,151.1223029,151,-0.122302911,0.877697089
CP2053,152.1159538,152.1159112,152.1162001,258.923,257.07,261.703,345984.2761,345980.5697,190766.1719,190765,1,152.1256899,152,-0.125689853,0.874310147
CP0899,153.0320697,153.0319644,153.0320925,186.171,183.862,190.809,5045707.865,5041662.581,2354756.75,585,1,153.0418644,153,-0.041864397,0.958135603
CP5980,153.1280868,153.1275415,153.1281775,614.267,612.576,615.962,1656209.417,1656206.454,1150392.75,1150392,1,153.1378876,153,-0.137887576,0.862112424
CP5981,153.1282991,153.1281268,153.1284588,613.422,610.883,615.962,3142515.365,3142510.71,1669256.5,1669256,1,153.1380999,153,-0.138099889,0.861900111
CP1119,153.1283338,153.1281433,153.1284305,204.257,202.402,208.431,223623.0738,213945.4796,120124.7422,13,1,153.1381346,153,-0.138134622,0.861865378
CP2610,153.1283775,153.1281566,153.1284344,315.003,313.151,321.494,118959.4277,117671.8219,51977.15625,17,1,153.1381784,153,-0.13817837,0.86182163
CP7977,153.8682448,153.8682324,153.8682519,677.26,675.581,679.388,904501.594,895719.7145,502423.9063,18,1,153.878093,154,0.121907041,0.121907041
CP8072,153.8683526,153.8682424,153.8685134,677.26,675.581,680.683,1305233.154,1305228.902,502423.9063,279944,1,153.8782008,154,0.121799183,0.121799183
CP6272,153.9918656,153.9917203,153.9921011,602.844,599.87,604.962,3033485.71,3033480.193,771972.125,771971,1,154.0017218,154,-0.001721752,0.998278248
CP6271,153.9918821,153.9917367,153.9920931,615.537,609.198,622.305,9623963.802,9623950.273,1126022.875,1126022,1,154.0017382,154,-0.001738189,0.998261811
CP6270,153.9919529,153.9917635,153.9921012,590.461,589.603,593.457,2487112.044,2487107.762,947867.9375,947867,1,154.001809,154,-0.001808995,0.998191005
CP0831,154.0354004,154.035398,154.0354032,186.171,184.792,188.021,130519.0738,130516.7674,76264.63281,76264,1,154.0452593,154,-0.045259281,0.954740719
CP0516,154.9984454,154.9982292,154.9985246,103.41,100.139,107.137,1489455.926,1489449.395,530415.0625,530414,1,155.0083659,155,-0.008365923,0.991634077
CP2302,155.1440053,155.143982,155.1442728,280.238,277.457,287.655,285455.8585,280152.9661,86197.70313,14,1,155.1539352,155,-0.153935185,0.846064815
CP8189,155.8739362,155.8739217,155.8739527,681.553,678.533,682.862,718502.8631,715240.2161,374801.3438,32,1,155.8839128,156,0.116087217,0.116087217
CP1062,156.1027959,156.1025655,156.1028632,200.548,199.159,203.329,144429.0377,142523.3668,78531.76563,20,1,156.1127872,156,-0.112787161,0.887212839
CP1285,156.8946875,156.8944159,156.8948339,63.8987,61.3726,71.2956,2981634.949,2324681.482,1137391.25,41,1,156.9047294,157,0.095270644,1.095270644
CP8577,156.9443002,156.9442908,156.9443218,689.008,685.484,690.759,1422912.001,1405444.196,783812.5,20,1,156.9543453,157,0.045654708,1.045654708
CP4597,157.0869209,157.0869037,157.086935,199.622,193.593,205.182,15749594.91,11720446.4,3291543.25,17,1,157.0969751,157,-0.096975101,0.903024899
CP1471,157.9309732,157.9309703,157.93098,220.933,220.005,222.325,58839.27722,58837.42122,40767.05859,40766,1,157.9410815,158,0.058918548,1.058918548
CP0560,158.8928039,158.8926804,158.8931575,63.8987,61.3726,71.2956,2048840.083,1621786.497,780585.9375,60,1,158.9029737,159,0.097026347,1.097026347
CP4762,159.0659707,159.0657057,159.0660436,545.625,543.898,547.806,376248.1481,360394.2086,188398.8594,11,1,159.0761516,159,-0.076151553,0.923848447
CP4104,159.0660581,159.0659575,159.0663224,508.008,505.247,509.805,419807.2215,415722.4311,205302.1719,36,1,159.076239,159,-0.076239027,0.923760973
CP1351,159.8936087,159.8935444,159.8937416,63.8987,61.3726,71.2956,4103625.98,3244702.212,1431762.375,50,1,159.9038425,160,0.096157485,1.096157485
CP7956,159.8936172,159.8933414,159.893686,669.328,659.775,681.553,22020335.38,21071245.31,2141953.5,20,1,159.9038511,160,0.096148928,1.096148928
CP8578,159.9422049,159.9421908,159.9422224,689.008,688.13,690.759,579032.7643,579030.6611,331823.8125,331823,1,159.9524419,160,0.047558125,1.047558125
CP0435,159.9448061,159.9445377,159.9449901,65.2737,61.3726,69.9022,1065550.632,894346.3559,227313.3125,12,1,159.9550432,160,0.044956757,1.044956757
CP1120,160.0401706,160.0399878,160.040302,203.792,201.011,207.967,159465.1207,154362.0576,66419.99219,12,1,160.0504139,160,-0.050413858,0.949586142
CP1461,160.1057593,160.105636,160.1059516,220.005,218.614,221.859,108162.2938,108159.5124,59200.02344,59199,1,160.1160068,160,-0.116006753,0.883993247
CP1352,160.892377,160.8923309,160.8928095,63.8987,61.3726,71.7599,4993780.915,3846141.34,1732502.25,54,1,160.9026748,161,0.0973252,1.0973252
CP0051,160.9389372,160.9389312,160.9389438,63.4358,62.5132,64.8168,199903.5249,197260.5311,158831.6406,25,1,160.949238,161,0.050762019,1.050762019
CP1260,160.9564181,160.9563707,160.956442,205.182,200.086,209.823,2089187.88,2078130.506,480750.4688,84,1,160.9667199,161,0.03328006,1.03328006
CP0618,161.0033079,161.0032839,161.0033755,67.12,63.4358,72.6898,1226131.883,1075661.617,259012.5156,14,1,161.0136128,161,-0.013612753,0.986387247
CP7588,161.0103412,161.0103366,161.0103441,663.081,661.833,663.915,437286.149,437284.4834,360497.4375,360496,1,161.0206465,161,-0.020646508,0.979353492
CP2836,161.0968842,161.0968773,161.0968903,342.349,338.642,345.125,406396.9015,400944.2836,112259.2813,22,1,161.1071951,161,-0.10719511,0.89280489
CP2733,161.0969005,161.096839,161.0970161,328.452,325.203,332.159,638787.3672,633326.9555,198851.7813,39,1,161.1072113,161,-0.107211337,0.892788663
CP3327,161.1334027,161.1333962,161.1334079,436.426,434.573,438.742,153928.7879,153925.0821,61701.49609,61700,1,161.1437159,161,-0.143715904,0.856284096
CP1261,161.8937037,161.89362,161.8941217,63.8987,61.3726,71.2956,2716720.751,2223137.025,942704.8125,33,1,161.9040656,162,0.095934417,1.095934417
CP0113,161.9366887,161.9366792,161.9367038,63.8987,62.5132,65.2737,161191.5815,161189.2811,103687.7656,103687,1,161.9470533,162,0.052946702,1.052946702
CP3623,162.8931834,162.8931095,162.8936273,63.8987,61.3726,72.6898,7934138.028,4881095.149,2731098,32,1,162.9036092,163,0.096390816,1.096390816
CP1211,162.9534386,162.9534066,162.9534723,204.719,200.548,209.823,1499737.354,1479084.969,344146.4063,34,1,162.9638683,163,0.036131733,1.036131733
CP7617,162.9821242,162.9821195,162.9821296,663.081,661.833,664.331,1046431.586,1046429.504,683392.625,683392,1,162.9925557,163,0.007444281,1.007444281
CP4079,163.0033889,163.0033876,163.0033929,507.549,506.165,508.466,83970.73186,83968.89106,77211.875,77211,1,163.0138218,163,-0.013821829,0.986178171
CP2180,163.1124637,163.1124603,163.1124684,270.044,269.119,271.433,74156.11623,74154.26503,54387.10547,54386,1,163.1229036,163,-0.122903577,0.877096423
CP4796,163.1488563,163.1487145,163.1490753,548.236,546.5,549.99,443211.49,439410.9907,292884.9375,36,1,163.1592985,163,-0.15929854,0.84070146
CP6512,163.1490436,163.1490005,163.1491106,630.718,629.034,632.399,1518436.914,1518433.97,813388.375,813387,1,163.1594858,163,-0.159485795,0.840514205
CP8579,163.8399362,163.8399243,163.8399567,688.569,686.366,690.759,1242926.53,1242923.113,531936.6875,531936,1,163.8504226,164,0.149577394,0.149577394
CP3937,163.9309263,163.9309243,163.9309299,495.773,494.429,497.128,87213.43891,87211.18974,47751.63281,47751,1,163.9414186,164,0.058581401,1.058581401
CP0052,163.952368,163.9523359,163.9525072,63.8987,61.3726,68.511,279458.8147,276897.2287,171836.6719,46,1,163.9628616,164,0.037138372,1.037138372
CP0533,163.9854353,163.9854325,163.9854394,116.457,115.06,117.856,54617.87677,54615.54677,29788.6582,29788,1,163.995931,164,0.004069003,1.004069003
CP0663,164.0349519,164.0349198,164.0353045,156.453,151.806,160.633,4659676.286,4418023.143,2147469.5,150,1,164.0454508,164,-0.045450762,0.954549238
CP0437,164.0714396,164.0711885,164.071518,75.9444,74.0836,78.2676,155314.284,147830.2971,84616.09375,12,1,164.0819408,164,-0.081940831,0.918059169
CP1648,164.107781,164.1077701,164.1077949,231.129,229.277,232.521,115974.1097,115971.3291,61085.22266,61084,1,164.1182845,164,-0.11828452,0.88171548
CP2116,164.1159059,164.1156747,164.1159902,264.02,262.629,265.412,63801.1311,63798.81193,36820.82422,36820,1,164.12641,164,-0.126410015,0.873589985
CP1316,164.8953101,164.8952726,164.8954416,63.8987,61.3726,71.2956,3368534.703,2642152.468,1449060.375,54,1,164.9058641,165,0.094135911,1.094135911
CP1126,164.9505754,164.9503008,164.9506216,205.182,203.329,209.359,163950.8341,161849.9007,79973.49219,22,1,164.9611329,165,0.038867099,1.038867099
CP0559,165.0224943,165.0223816,165.0226072,132.297,129.504,136.015,521227.5074,521221.4614,210606.2344,210605,1,165.0330564,165,-0.033056441,0.966943559
CP0595,165.0225017,165.022498,165.0225069,154.13,152.736,155.988,100643.5575,99781.36369,67196.1875,23,1,165.0330638,165,-0.033063796,0.966936204
CP0619,165.0384251,165.0383622,165.0385313,156.453,154.13,158.31,400007.9601,400004.2446,211647.8594,211647,1,165.0489883,165,-0.048988253,0.951011747
CP1204,165.0406191,165.0404981,165.0406681,206.574,202.402,211.679,889185.6394,697295.4882,285527.4063,14,1,165.0511823,165,-0.051182347,0.948817653
CP5636,165.0406476,165.0403228,165.0406828,598.162,595.167,601.995,3988623.683,3886756.348,1647893.625,29,1,165.0512108,165,-0.051210839,0.948789161
CP1286,165.0555366,165.0552804,165.0556149,214.464,210.751,218.614,1091301.367,849350.7691,347071.0313,11,1,165.0661008,165,-0.066100789,0.933899211
CP0727,165.058744,165.0586767,165.0587874,173.642,171.318,175.501,266353.5245,266349.8062,155050.9844,155050,1,165.0693085,165,-0.069308483,0.930691517
CP2530,165.1281778,165.1281135,165.1282157,303.419,295.997,308.518,401438.3207,380785.5679,119650.9844,14,1,165.1387467,165,-0.138746722,0.861253278
CP3487,165.1282288,165.1281746,165.1285028,463.313,460.514,466.091,254802.281,254797.1687,82239.90625,82239,1,165.1387977,165,-0.138797716,0.861202284
CP8575,165.8370565,165.8368166,165.8371684,688.569,686.806,689.889,777041.2606,777039.0585,503549.8125,503549,1,165.8476708,166,0.152329249,0.152329249
CP4180,165.8371102,165.8368064,165.8372088,489.415,486.812,489.415,1753260.56,1753257.524,751896.4375,751895,1,165.8477245,166,0.152275549,0.152275549
CP4181,165.8371151,165.8368064,165.8372088,484.16,477.365,488.966,5778377.144,5778365.543,751896.4375,751895,1,165.8477294,166,0.152270623,0.152270623
CP4183,165.8371172,165.83689,165.8371885,508.92,505.247,512.355,5302724.709,5302717.601,1028999.563,1028999,1,165.8477315,166,0.152268531,0.152268531
CP4182,165.8371268,165.8371022,165.8371657,493.543,486.812,497.576,7242185.467,7242174.255,806969,806968,1,165.847741,166,0.152258951,0.152258951
CP4179,165.8371354,165.8370973,165.8371691,502.043,495.773,512.355,12200090.4,12200073.82,1028999.563,895330,1,165.8477497,166,0.152250337,0.152250337
CP4184,165.8371398,165.8371026,165.8371691,501.157,497.576,505.247,6035294.621,6035286.498,895331.1875,895330,1,165.8477541,166,0.152245905,0.152245905
CP0733,165.8371401,165.8371398,165.8371407,175.501,174.106,176.431,55351.40669,55349.54669,42039.3125,42038,1,165.8477544,166,0.152245595,0.152245595
CP1500,166.0870915,166.0870512,166.087425,221.396,219.078,224.642,337584.3248,311244.1012,160313.0313,13,1,166.0977218,166,-0.097721752,0.902278248
CP1205,166.0871089,166.0870982,166.0871131,209.359,207.039,214.001,204073.4627,200015.7669,100351.4531,20,1,166.0977391,166,-0.097739136,0.902260864
CP0359,167.0016153,167.0014398,167.0019495,66.6573,63.8987,69.4389,495455.0931,495450.0146,215986.4063,215985,1,167.0123041,167,-0.012304115,0.987695885
CP0548,167.0200094,167.0197517,167.0200807,128.108,126.708,129.97,84817.26889,83966.75903,39256.875,16,1,167.0306994,167,-0.030699402,0.969300598
CP0609,167.0379873,167.037889,167.0382082,156.917,155.523,157.846,67317.58816,66533.50055,44162.92188,13,1,167.0486784,167,-0.048678372,0.951321628
CP0720,167.0381352,167.0378884,167.0382144,172.248,170.39,174.572,772133.2294,772129.512,455383.6563,455383,1,167.0488263,167,-0.048826344,0.951173656
CP5259,167.1073599,167.1072256,167.1076278,574.7,570.861,578.118,3528135.316,3201114.627,1500609.625,18,1,167.1180555,167,-0.118055458,0.881944542
CP3822,167.8363796,167.836216,167.8365432,487.237,485.956,488.093,413139.6988,413137.9892,307932.2188,307931,1,167.8471218,168,0.152878189,0.152878189
CP8580,167.938953,167.9387313,167.9390511,689.008,688.13,690.759,408582.2558,408580.1526,209234.2656,209233,1,167.9497018,168,0.050298178,1.050298178
CP4080,167.9390263,167.9390248,167.9390302,507.089,505.705,508.466,130541.2556,130538.9547,62767.01953,62766,1,167.9497751,168,0.050224865,1.050224865
CP1095,168.0487146,168.0485046,168.0488337,202.865,201.475,204.257,91214.28707,91211.96874,56452.10938,56451,1,168.0594704,168,-0.059470381,0.940529619
CP1904,168.1027842,168.1027558,168.1028068,243.18,239.009,247.811,832364.3747,550178.6874,282378.0938,12,1,168.1135435,168,-0.113543473,0.886456527
CP5208,168.1106468,168.1106404,168.1106579,574.7,573.417,575.556,252150.6474,252148.9362,246233.6875,246233,1,168.1214066,168,-0.121406598,0.878593402
CP3640,168.9891576,168.9891319,168.9891956,181.54,176.896,185.717,7732004.548,5371100.759,2219948.25,16,1,168.9999736,169,2.64E-05,1.000026395
CP3641,169.0868058,169.0867817,169.0868747,214.927,210.751,219.542,4849866.681,3226366.307,1075855.25,12,1,169.097628,169,-0.097628005,0.902371995
CP2098,169.1230919,169.1229893,169.1231219,240.863,236.694,244.569,1243454.858,978560.8968,397540.1875,14,1,169.1339164,169,-0.133916446,0.866083554
CP2921,169.1595398,169.1594201,169.1597627,353.928,352.078,357.171,299175.1293,295470.6463,151965.375,31,1,169.1703667,169,-0.170366716,0.829633284
CP0773,169.9925887,169.9922746,169.9926212,181.075,177.361,183.862,161103.5257,150950.808,90634.96875,11,1,170.0034689,170,-0.003468938,0.996531062
CP8490,170.0202624,170.0202304,170.0205773,684.607,678.108,689.448,6411912.576,6331226.18,1181751,30,1,170.0311444,170,-0.031144379,0.968855621
CP8492,170.0203988,170.0201598,170.0205817,672.242,668.495,678.533,17753544.07,17672945.87,2868627.5,74,1,170.0312808,170,-0.031280827,0.968719173
CP8489,170.0204301,170.0202295,170.0205817,670.578,668.078,670.578,6505273.698,6482791.634,2851388.5,73,1,170.0313122,170,-0.03131215,0.96868785
CP8491,170.0204853,170.0202472,170.0205701,664.331,660.598,668.078,15867600.45,15809943.59,2884457.5,74,1,170.0313673,170,-0.031367298,0.968632702
CP0707,170.0245546,170.0245496,170.0245604,168.996,167.602,170.39,56461.32902,56459.00569,28375.25195,28374,1,170.0354369,170,-0.035436913,0.964563087
CP1880,170.0278871,170.0278841,170.0278889,246.422,245.032,247.811,139031.3038,139028.988,73953.67188,73953,1,170.0387695,170,-0.038769536,0.961230464
CP1237,170.1184389,170.1184129,170.1184812,213.073,209.823,214.927,538146.2557,526059.9436,289028.8438,31,1,170.1293272,170,-0.1293272,0.8706728
CP1028,170.9852325,170.9852257,170.9852391,196.377,192.202,199.622,315646.3616,312384.8953,70640.42188,20,1,170.9961763,171,0.003823721,1.003823721
CP0561,171.0119808,171.0117353,171.0120826,132.297,128.574,136.479,4082294.204,4075643.339,1454637.5,298,1,171.0229263,171,-0.022926281,0.977073719
CP4220,171.1386774,171.1386145,171.1387479,65.2737,61.3726,68.511,1637354.331,1637347.192,311274.8125,311274,1,171.149631,171,-0.149630978,0.850369022
CP4209,171.1386821,171.1386554,171.1387037,115.526,112.265,117.856,1955602.523,1955596.466,387504,387503,1,171.1496356,171,-0.149635643,0.850364357
CP4208,171.1386822,171.1386383,171.138722,93.1492,90.3549,98.2733,2673595.548,2673587.164,375951.1875,375950,1,171.1496358,171,-0.149635756,0.850364244
CP4200,171.1386833,171.1386425,171.1387175,73.1539,62.5132,78.2676,4365426.697,4365410.48,353580.8125,353580,1,171.1496369,171,-0.149636881,0.850363119
CP4221,171.1386862,171.1386702,171.1387004,109.47,107.137,112.265,1837332.936,1837327.342,381909.8438,381909,1,171.1496398,171,-0.149639826,0.850360174
CP4185,171.1386863,171.1386388,171.1387262,85.7027,63.4358,97.8082,10502319.61,10502284.77,407830.6563,407830,1,171.1496399,171,-0.149639877,0.850360123
CP4199,171.1386864,171.1386531,171.1387338,455.883,452.18,459.124,2614710.874,2614703.467,438146.4688,438145,1,171.14964,171,-0.149640014,0.850359986
CP4195,171.1386899,171.1386588,171.1387174,159.704,149.016,169.926,7839892.157,7839870.782,421960.5625,406852,1,171.1496434,171,-0.14964344,0.85035656
CP4204,171.13869,171.1386616,171.1387209,181.075,175.966,185.717,3880655.284,3880645.069,448601.4063,439340,1,171.1496435,171,-0.149643532,0.850356468
CP4186,171.1386904,171.1386593,171.1387145,103.875,98.2733,110.867,4315035.439,4315022.379,389803.5938,389803,1,171.149644,171,-0.149644027,0.850355973
CP4189,171.1386905,171.1386531,171.1387384,238.083,228.351,248.737,8150302.457,8150281.608,484583.3438,484582,1,171.1496441,171,-0.149644124,0.850355876
CP4210,171.1386916,171.13867,171.1387187,141.588,130.437,148.088,6246759.751,6246741.635,425697.875,425697,1,171.1496451,171,-0.14964513,0.85035487
CP4233,171.1386921,171.1386688,171.1387275,424.853,421.14,428.097,2504857.443,2504850.023,409018.2813,409017,1,171.1496456,171,-0.149645647,0.850354353
CP4212,171.1386924,171.1386631,171.1387115,171.318,167.602,175.036,2964167.459,2964159.56,439748.9375,435503,1,171.149646,171,-0.149645979,0.850354021
CP4222,171.138693,171.1386464,171.1387201,121.581,117.856,127.175,3067577.187,3067567.402,377800.2188,377799,1,171.1496466,171,-0.149646584,0.850353416
CP4223,171.1386933,171.1386544,171.1387464,136.479,132.762,139.265,2364090.691,2364083.724,412816.3125,412815,1,171.1496469,171,-0.1496469,0.8503531
CP4198,171.1386936,171.1386625,171.1387288,439.205,435.962,442.913,2532125.63,2532118.216,411940.9375,411940,1,171.1496472,171,-0.149647217,0.850352783
CP4211,171.1386937,171.1386747,171.1387184,152.736,148.552,156.453,2973191.803,2973183.438,421960.5625,421960,1,171.1496472,171,-0.149647242,0.850352758
CP4187,171.1386942,171.1386535,171.1387464,142.053,127.641,151.806,8340136.346,8340111.716,425697.875,425697,1,171.1496477,171,-0.14964773,0.85035227
CP4214,171.1386949,171.1386625,171.1387711,265.412,260.777,268.657,3129264.216,3129255.872,460699.0313,456352,1,171.1496484,171,-0.149648443,0.850351557
CP4193,171.1386965,171.1386741,171.1387345,416.501,412.33,421.14,3416366.752,3416357.478,478821.1875,478820,1,171.1496501,171,-0.14965011,0.85034989
CP4202,171.1386993,171.13865,171.1387508,401.672,396.574,410.941,5058912.465,5058897.634,453148.0625,453147,1,171.1496529,171,-0.14965288,0.85034712
CP4206,171.1387049,171.1386708,171.1387623,256.144,251.052,260.777,3898050.998,3898040.809,504445.625,504445,1,171.1496585,171,-0.149658472,0.850341528
CP4894,171.1387091,171.1386698,171.1387461,524.842,520.383,529.307,11137339.4,8262071.603,2635790.25,13,1,171.1496627,171,-0.149662674,0.850337326
CP4203,171.1387147,171.1386771,171.1387723,477.365,468.872,483.699,6973287.325,6973272.048,836745.75,836745,1,171.1496682,171,-0.149668237,0.850331763
CP4194,171.1387161,171.1386655,171.1389959,489.875,483.699,494.429,5829817.033,5829805.856,682690.3125,682689,1,171.1496697,171,-0.149669686,0.850330314
CP4213,171.1387174,171.1386578,171.1387755,218.153,214.001,221.396,3083688.034,3083680.177,624148.75,624148,1,171.149671,171,-0.149671024,0.850328976
CP4219,171.1387176,171.1386651,171.1389766,504.326,500.718,510.237,4666833.187,4666823.214,661999.375,541615,1,171.1496712,171,-0.149671189,0.850328811
CP4234,171.1387345,171.1386662,171.1389953,448.472,447.545,452.18,1742140.069,1742134.97,460103.9063,460103,1,171.149688,171,-0.14968804,0.85031196
CP4215,171.1387484,171.1386712,171.1390267,360.413,356.708,362.731,2309079.106,2309072.62,483077.2188,483076,1,171.149702,171,-0.149701982,0.850298018
CP4190,171.138749,171.1386708,171.1390055,278.847,273.752,281.629,2987654.023,2987645.683,438255.3125,438254,1,171.1497026,171,-0.149702623,0.850297377
CP4230,171.1387516,171.1386767,171.1390267,358.56,355.317,360.413,1949066.295,1949060.736,406559.5313,406559,1,171.1497052,171,-0.149705227,0.850294773
CP4218,171.1387609,171.1386733,171.1390012,431.337,428.097,435.962,2809601.936,2809593.608,443397.375,443396,1,171.1497145,171,-0.14971445,0.85028555
CP4197,171.1387719,171.1386638,171.1390295,365.512,364.585,365.976,641898.6554,641896.8007,389438.5625,483076,1,171.1497255,171,-0.149725527,0.850274473
CP4217,171.13878,171.1386695,171.1390386,378.492,374.783,382.669,2832300.461,2832292.112,421634.3125,421633,1,171.1497335,171,-0.149733545,0.850266455
CP4232,171.1387812,171.1386564,171.1390224,393.331,390.088,396.574,2336423.882,2336416.932,414233.8125,414233,1,171.1497348,171,-0.149734784,0.850265216
CP4235,171.1387817,171.13867,171.1390551,461.441,459.124,461.905,1167890.568,1167887.323,389282.4688,402689,1,171.1497353,171,-0.149735252,0.850264748
CP4229,171.1387937,171.138666,171.139048,342.812,339.569,345.125,2129991.349,2129985.33,417707.6875,417707,1,171.1497473,171,-0.149747332,0.850252668
CP4191,171.138806,171.138658,171.1390348,329.841,321.494,339.106,6524920.091,6524902.016,454151.9688,454151,1,171.1497596,171,-0.149759564,0.850240436
CP4192,171.1388193,171.138672,171.1390366,348.372,347.444,348.836,686608.814,686606.958,389490.375,432460,1,171.1497729,171,-0.149772891,0.850227109
CP4196,171.1388248,171.1386899,171.1390332,315.466,311.298,321.03,3682849.276,3682839.08,426277.4063,426276,1,171.1497784,171,-0.149778404,0.850221596
CP4216,171.1388292,171.1386638,171.1390129,371.076,366.903,374.783,2857325.198,2857316.855,425751.75,425751,1,171.1497827,171,-0.149782745,0.850217255
CP4205,171.1388303,171.1386766,171.1390255,210.751,202.402,213.073,4266201.252,4266190.117,454876.4688,454875,1,171.1497838,171,-0.149783839,0.850216161
CP4188,171.1388384,171.1386608,171.1390515,191.273,177.361,202.865,10036236.69,10036210.72,494244.125,494243,1,171.149792,171,-0.149792035,0.850207965
CP4224,171.1388514,171.1386608,171.139025,190.345,186.631,192.666,2573919.608,2573913.109,494244.125,494243,1,171.149805,171,-0.149804963,0.850195037
CP4227,171.1388718,171.1386507,171.1390483,298.781,295.533,302.028,2396168.15,2396161.192,414020.0625,414019,1,171.1498254,171,-0.149825385,0.850174615
CP4226,171.1388759,171.1386995,171.1390312,224.179,221.396,226.962,2270045.021,2270038.991,429775,429774,1,171.1498295,171,-0.149829481,0.850170519
CP4225,171.138877,171.1386838,171.1390515,195.448,192.666,200.086,3069813.994,3069806.11,447205.1563,447204,1,171.1498306,171,-0.149830612,0.850169388
CP4228,171.1389137,171.1386954,171.139058,336.325,333.548,339.569,2326674.796,2326668.312,414284.125,414283,1,171.1498673,171,-0.149867323,0.850132677
CP4201,171.138925,171.1386764,171.1390765,291.823,286.729,301.101,5325292.742,5325277.907,462168.5313,462168,1,171.1498786,171,-0.149878616,0.850121384
CP4207,171.1389562,171.1386827,171.1390557,306.663,302.028,311.298,3427522.904,3427513.171,417479.3438,413009,1,171.1499098,171,-0.149909808,0.850090192
CP4231,171.1390104,171.1389902,171.1390336,386.379,382.669,390.088,2690177.739,2690169.857,412748.9375,386996,1,171.149964,171,-0.149964031,0.850035969
CP4763,171.8302676,171.830264,171.8302708,546.5,545.625,547.806,174948.0528,174946.308,111752.7969,111752,1,171.8412655,172,0.158734545,0.158734545
CP0793,171.9990915,171.9990698,171.9991111,181.075,179.22,184.327,1580925.792,1580921.149,833650.5,833650,1,172.0101001,172,-0.010100121,0.989899879
CP0557,172.0153193,172.0149866,172.0153586,132.297,129.504,134.624,325986.6318,325981.9773,133699.5625,133699,1,172.026329,172,-0.026328996,0.973671004
CP4764,172.1420387,172.1420354,172.1420421,546.934,545.625,547.806,126129.0361,126127.2913,80318.94531,80318,1,172.1530565,172,-0.153056526,0.846943474
CP0016,172.9543747,172.9543568,172.9548667,62.9753,61.3726,64.3591,231264.6006,231262.1119,142011.625,142011,1,172.9654445,173,0.034555475,1.034555475
CP0584,172.9912288,172.9909379,172.9912463,144.838,141.588,149.481,8460130.054,8460122.625,3875009.25,3875008,1,173.002301,173,-0.002300956,0.997699044
CP0555,173.0076345,173.0075964,173.0076892,131.832,129.97,134.624,139508.6067,139504.8835,74659.77344,74659,1,173.0187077,173,-0.018707667,0.981292333
CP1569,173.0606057,173.060563,173.0606719,225.106,223.253,228.813,501429.2199,497903.948,250232.75,52,1,173.0716823,173,-0.071682317,0.928317683
CP1063,173.0817413,173.0814007,173.0817834,179.683,175.501,183.862,1554722.418,1280770.386,545251.5,19,1,173.0928193,173,-0.092819253,0.907180747
CP3926,173.8687699,173.8687671,173.8687731,495.773,494.429,496.679,78592.50967,78590.70967,55053.03906,55052,1,173.8798982,174,0.120101763,0.120101763
CP4144,173.8820892,173.8818517,173.8822638,487.664,478.215,498.474,3613982.547,3613962.288,427168.2813,427167,1,173.8932183,174,0.106781681,0.106781681
CP4147,173.882146,173.8818512,173.8823044,508.92,504.786,511.088,1319630.293,1319623.991,304366.1875,304365,1,173.8932751,174,0.106724859,0.106724859
CP4148,173.8821566,173.882086,173.8822306,480.921,478.215,484.16,862144.2537,862138.3087,187444.9219,187444,1,173.8932858,174,0.106714221,0.106714221
CP4145,173.8821959,173.8820412,173.8823044,502.491,498.474,511.088,2536505.044,2536492.43,304366.1875,304365,1,173.8933251,174,0.106674924,0.106674924
CP4146,173.8822027,173.8820867,173.8822423,501.157,496.679,504.786,1553799.017,1553790.46,271247.75,271247,1,173.8933319,174,0.106668128,0.106668128
CP0577,173.9944248,173.9943972,173.9944635,144.838,142.517,147.16,576545.5044,576541.3257,268217.125,268216,1,174.0055612,174,-0.005561174,0.994438826
CP0507,174.0226784,174.0226458,174.0227088,95.9443,92.6835,100.139,3541688.221,3541681.232,1337809.5,1337808,1,174.0338166,174,-0.033816602,0.966183398
CP0469,174.0306443,174.0305805,174.0309511,85.7027,83.3786,87.5627,88000.73032,87997.01112,34267.09375,34266,1,174.041783,174,-0.041782959,0.958217041
CP2117,174.0557662,174.0557581,174.0557708,263.557,261.703,266.801,160220.4156,158533.5039,75703.6875,21,1,174.0669065,174,-0.066906469,0.933093531
CP0759,174.0850567,174.085053,174.0850592,179.22,178.291,180.611,74795.61644,74793.76044,47869.03516,47868,1,174.0961989,174,-0.096198902,0.903801098
CP1212,174.9337709,174.9337296,174.9338191,73.1539,61.3726,89.8899,16565131.99,15729332.96,792344.125,31,1,174.9449674,175,0.055032602,1.055032602
CP1353,174.9542719,174.9542359,174.9547873,63.8987,61.3726,68.511,3871505.526,3116359.268,1341584.875,60,1,174.9654697,175,0.03453034,1.03453034
