,mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,sn,sample,KM,NKM,KMD,AKMD
CP0650,213.0052015,213.0051742,213.0052249,158.31,155.523,161.098,3171899.826,3156129.724,1396727,82,1,213.0188348,213,-0.018834751,0.981165249
CP0832,213.0053817,213.0052138,213.0056987,185.717,183.862,187.094,257997.5689,257994.7986,153355.5469,153355,1,213.0190149,213,-0.019014932,0.980985068
CP7589,213.0117057,213.0117011,213.0117109,662.665,661.419,663.915,809745.729,809743.649,493096.375,493095,1,213.0253393,213,-0.025339319,0.974660681
CP1032,213.022155,213.0220098,213.0224801,199.159,197.304,200.548,185099.0864,185096.3059,112761.1797,112760,1,213.0357893,213,-0.035789285,0.964210715
CP0565,213.033672,213.0336582,213.0336993,138.801,137.409,140.195,140395.5736,140393.252,74929.00781,74928,1,213.047307,213,-0.047306981,0.952693019
CP0327,213.0402067,213.0401814,213.0402325,66.6573,64.8168,68.511,292098.8373,292095.6049,154413.4688,154412,1,213.0538422,213,-0.053842174,0.946157826
CP5512,213.0663412,213.0663333,213.0663481,591.318,590.032,592.174,207942.1537,207940.4401,132178.0781,132177,1,213.0799784,213,-0.079978354,0.920021646
CP3802,213.0666727,213.0663182,213.0668575,474.4,469.799,479.09,7863632.5,7387225.659,2122482,36,1,213.0803099,213,-0.080309884,0.919690116
CP1333,213.1129627,213.1125684,213.1130301,68.9751,66.6573,72.2257,238838.4189,238832.8505,60216.60547,60216,1,213.1266028,213,-0.126602803,0.873397197
CP1326,213.1129834,213.1125795,213.1130538,184.792,180.611,189.415,934988.0834,934978.816,170030.7813,170030,1,213.1266235,213,-0.126623459,0.873376541
CP1327,213.1130163,213.1125536,213.1132485,106.671,99.6731,113.199,842602.7472,842588.7549,82727.60156,82727,1,213.1266564,213,-0.126656373,0.873343627
CP1328,213.1130255,213.1129466,213.1131261,146.695,143.446,150.41,534327.7221,534320.2938,104751.7109,104751,1,213.1266656,213,-0.126665592,0.873334408
CP1332,213.113028,213.1130046,213.1130436,168.996,165.743,180.611,1150116.79,1150101.457,115153.4922,102256,1,213.1266681,213,-0.126668061,0.873331939
CP1330,213.1130281,213.1129571,213.1131021,120.652,114.596,125.308,745203.0248,745191.8471,96433.75781,96433,1,213.1266682,213,-0.126668162,0.873331838
CP1931,213.1130292,213.1129581,213.1130769,224.179,219.542,230.202,3364224.469,2668083.573,634244.375,18,1,213.1266693,213,-0.126669338,0.873330662
CP1930,213.1130296,213.1128591,213.1130845,240.863,236.694,245.032,2527219.41,1986065.437,880416.5625,26,1,213.1266697,213,-0.126669685,0.873330315
CP1325,213.1130307,213.112986,213.1130477,207.967,203.792,212.607,6251263.849,6251254.57,2181003.25,2181002,1,213.1266708,213,-0.126670762,0.873329238
CP1336,213.1130398,213.1129876,213.1131043,141.125,138.337,143.446,395098.0163,395092.4428,92805.45313,92804,1,213.1266799,213,-0.126679894,0.873320106
CP1331,213.1130459,213.1130268,213.1131063,158.31,154.594,161.562,507610.8049,507603.3724,101036.8047,101036,1,213.126686,213,-0.126685989,0.873314011
CP1335,213.1130494,213.1130085,213.1131044,135.551,132.762,138.337,431926.2591,431920.2195,103722.5313,103722,1,213.1266895,213,-0.126689508,0.873310492
CP1329,213.1130499,213.1129709,213.1132039,95.011,88.028,99.6731,744603.6278,744591.5169,88657.55469,82736,1,213.12669,213,-0.12668998,0.87331002
CP1324,213.1130593,213.1125635,213.1132675,129.97,129.504,131.832,201168.3837,201165.5901,76127.22656,108429,1,213.1266994,213,-0.126699365,0.873300635
CP1323,213.113063,213.1129965,213.1131732,76.4087,66.6573,87.098,1302623.053,1302602.613,114458.0781,114457,1,213.1267031,213,-0.126703149,0.873296851
CP1337,213.1130775,213.1130277,213.1131536,194.52,189.415,203.792,1714355.299,1714340.459,216607.75,162614,1,213.1267176,213,-0.126717564,0.873282436
CP1334,213.1130902,213.1129996,213.1132368,129.039,125.308,132.762,573993.7013,573985.7814,108429.8438,108429,1,213.1267303,213,-0.126730264,0.873269736
CP4981,213.1678091,213.1676886,213.1681574,562.769,556.386,567.027,1029075.868,984159.3286,539946,17,1,213.1814528,213,-0.181452763,0.818547237
CP2283,213.1686175,213.168604,213.1686342,278.384,273.752,280.702,329445.4773,328458.2967,129151.8203,60,1,213.1822611,213,-0.182261136,0.817738864
CP6541,213.1831268,213.1831076,213.1831398,632.819,629.877,634.495,6112390.284,6112386.925,2838046,2838045,1,213.1967714,213,-0.19677139,0.80322861
CP7288,213.1854598,213.1853356,213.1858418,621.883,617.656,628.194,27434290.77,24053183.47,5121850.5,17,1,213.1991046,213,-0.199104573,0.800895427
CP7286,213.1854741,213.1854122,213.185873,632.819,628.194,636.999,387886846.8,385041074.3,107203368,417,1,213.1991189,213,-0.199118875,0.800881125
CP7287,213.185507,213.1854546,213.1859406,641.134,636.999,644.888,85176729.41,82614808.19,31267272,121,1,213.1991518,213,-0.199151756,0.800848244
CP6772,213.1891691,213.1891567,213.1891758,641.134,639.482,642.819,887908.0475,882932.0572,593928.1875,22,1,213.2028141,213,-0.202814109,0.797185891
CP0151,213.8983008,213.898205,213.899102,63.4358,61.3726,68.511,713681.7023,556444.4153,525780.1875,27,1,213.9119911,214,0.088008877,1.088008877
CP8594,213.8983221,213.8982107,213.898742,689.448,688.13,690.759,1071138.12,1071136.017,720142.5,720142,1,213.9120125,214,0.087987489,1.087987489
CP0508,213.9259539,213.9258363,213.9260755,65.7332,61.3726,70.3662,1498205.213,1147656.186,273591.25,20,1,213.939646,214,0.060353999,1.060353999
CP0681,213.963535,213.9634911,213.9639951,165.278,163.419,167.602,309712.5771,307498.0169,158973.4375,41,1,213.9772295,214,0.022770495,1.022770495
CP0648,213.9978209,213.9977262,213.997844,157.846,155.523,160.633,1593043.032,1573050.72,784430,50,1,214.0115176,214,-0.011517609,0.988482391
CP0833,213.9978266,213.9978225,213.9978299,185.717,184.792,187.094,125959.8972,125958.0556,82711.20313,82710,1,214.0115233,214,-0.011523321,0.988476679
CP0644,214.006286,214.0062568,214.0063592,158.31,156.453,160.168,257259.4727,257256.222,152412.1094,152411,1,214.0199832,214,-0.019983245,0.980016755
CP0719,214.0175312,214.0174854,214.0175558,172.248,170.39,174.106,213921.1784,213917.9269,134258.9688,134258,1,214.0312292,214,-0.03122921,0.96877079
CP3628,214.0699112,214.0697274,214.0702094,473.958,470.725,475.683,717053.2554,712220.8614,354012.3125,60,1,214.0836126,214,-0.083612581,0.916387419
CP1734,214.0870855,214.0870285,214.0871302,235.302,232.984,238.083,989346.6734,988284.7341,434169.0625,171,1,214.100788,214,-0.100787987,0.899212013
CP1238,214.108251,214.1082135,214.1082709,213.073,210.751,214.927,394870.7987,391873.4801,206232.8906,45,1,214.1219548,214,-0.121954814,0.878045186
CP1188,214.1162343,214.1161791,214.1162659,207.967,205.182,212.144,670946.2814,648529.7466,242603.9063,19,1,214.1299386,214,-0.129938623,0.870061377
CP1805,214.1162552,214.1162508,214.11626,240.863,239.472,242.717,177813.5768,175151.9541,99237.76563,18,1,214.1299595,214,-0.129959525,0.870040475
CP1220,214.1444781,214.1443979,214.1445246,209.359,206.574,214.927,652934.2024,601430.4692,216361.8594,12,1,214.1581842,214,-0.158184233,0.841815767
CP6877,214.1889564,214.1887141,214.1892396,641.134,636.999,644.888,10316601.32,9241532.445,4938011.5,14,1,214.2026654,214,-0.202665416,0.797334584
